name,brand,price,ratings,specs_score,os,processor,ram_size,ram_type,storage,graphics,screen_size,resoultion,cores,threads,warranty_months
HP Victus 15-fa1134TX Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home/ 6GB Graph),HP,86950,"4,35",73.0,Windows 11 OS,12th Gen Intel Core i7 12650H,16 GB,DDR4,512 GB SSD,6GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 16 Threads,12.0
Gigabyte G5 MF-E2IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home/ 6GB Graph),Gigabyte,69900,"4,15",70.0,Windows 11 OS,12th Gen Intel Core i5 12500H,8 GB,DDR4,512 GB SSD,6GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 16 Threads,24.0
HP Pavilion 14-dv2153TU Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win 11),HP,59541,"4,75",63.0,Windows 11 OS,12th Gen Intel Core i5 1235U,16 GB,DDR4,1 TB SSD,Integrated Intel Iris Xe,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
MSI Creator Z16 HX B13VFTO-215IN Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win 11/ RTX4060),MSI,234990,"4,2",60.69506172839506,Windows 11 OS,13th Gen Intel Core i7 13700HX,32 GB,DDR5,1 TB SSD,8GB NVIDIA GeForce RTX 4060,16 inches,2560 x 1600 pixels,14 Cores (6P + 8E), 24 Threads,24.0
Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home/ 4GB Graph),Acer,53299,"4,55",66.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB,DDR4,512 GB SSD,4GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
Lenovo LOQ 15IRH8 82XV00F7IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11/ 8GB Graph),Lenovo,82990,4,68.0,Windows 11 OS,12th Gen Intel Core i5 12450H,16 GB,DDR5,512 GB SSD,8GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
Jio JioBook NB1112MM BLU 2023 Netbook Laptop (Octa Core/ 4GB/ 64GB eMMC/ JioOS),Jio,12990,"4,75",60.69506172839506,Jio OS,Mediatek MT8788,4 GB,LPDDR4,64 GB eMMC,Integrated Mali-G52,11.6 inches,1366 x 768 pixels,Octa Core, 12 Threads,12.0
Acer Aspire 5 A514-56GM Gaming Laptop (13th Gen Core i7/ 8GB/ 512GB SSD/ Win 11 Home/ 4GB Graph),Acer,51999,"4,7",62.0,Windows 11 OS,13th Gen Intel Core i7 1355U,8 GB,DDR4,512 GB SSD,4GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 12 Threads,12.0
HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win 11),HP,70990,"4,15",65.0,Windows 11 OS,13th Gen Intel Core i5 1335U,16 GB,DDR4,1 TB SSD,Integrated Intel Iris Xe,14 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 12 Threads,12.0
Lenovo IdeaPad Slim 3 82KU0238IN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win 11 Home),Lenovo,40000,"4,15",59.0,Windows 11 OS,5th Gen AMD Ryzen 5 5500U,16 GB,DDR4,512 GB SSD,Integrated AMD Radeon,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,12.0
HP Pavilion Plus 14-eh0037TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),HP,59648,4,69.0,Windows 11 OS,12th Gen Intel Core i5 12500H,16 GB,DDR4,512 GB SSD,Integrated Intel Iris Xe,14 inches,2880 x 1800 pixels,10 Cores (2P + 8E), 16 Threads,12.0
Lenovo E41-55 82FJ00B5IH Laptop (Athlon 3050U/ 4GB/ 256GB SSD/ DOS),Lenovo,18990,"4,65",60.69506172839506,DOS OS,3rd Gen AMD Athlon 3050U,4 GB,DDR4,256 GB SSD,Integrated AMD Radeon,14 inches,1366 x 768 pixels,Dual Core, 2 Threads,12.0
Acer Aspire 7 A715-75G NH.QGBSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home/ 4GB Graph),Acer,51990,"4,05",64.0,Windows 11 OS,12th Gen Intel Core i5 1240P,8 GB,DDR4,512 GB SSD,4GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 16 Threads,12.0
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ MacOS),Apple,102699,"4,2",60.69506172839506,Mac OS,Apple M2,8 GB,Unified Memory,512 GB SSD,8-Core GPU,13.6 inches,2560 x 1664 pixels,Octa Core, 12 Threads,12.0
Asus Vivobook Go 14 E1404FA-EB2322WS Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win 11 Home),Asus,30990,"4,15",50.0,Windows 11 OS,7th Gen AMD Ryzen 3 7320U,8 GB,LPDDR5,512 GB SSD,Integrated AMD Radeon,14 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
MSI VenturePro A15 A3HWEG-011IN Laptop (AMD Ryzen 7 350/ 16GB/ 1TB SSD/ Win 11/ 8GB Graphics),MSI,124990,"4,7",70.0,Windows 11 OS,AMD Ryzen 7 350,16 GB,DDR5,1 TB SSD,8GB AMD Radeon RX 7600M XT,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,24.0
Lenovo ThinkBook 14 21SGA02YIG Laptop (Intel Core 7 240H/ 16GB/ 512GB SSD/ Win 11 Home),Lenovo,81990,"4,25",50.0,Windows 11 OS,Intel Core 7 240H,16 GB,Standard,512 GB SSD,Integrated Intel Arc,14 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 16 Threads,12.0
HP 255 G10 BJ3S9AT-1 Laptop (AMD Ryzen 3 7330U/ 8GB/ 512GB SSD/ Win 11),HP,33290,"4,6",59.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,8 GB,DDR4,512 GB SSD,Integrated AMD Radeon,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Dell 16 Alienware CAN16250CTO03MINO Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win 11/ 24GB RTX5090),Dell,472990,"4,6",60.69506172839506,Windows 11 OS,Intel Core Ultra 9 275HX,4 GB,DDR5,2 TB SSD,24GB NVIDIA GeForce RTX 5090,16 inches,2560 x 1600 pixels,24 Cores (8P + 16E), 24 Threads,12.0
MSI Katana 15 B14WFK-102IN Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win 11 Home/ 8GB RTX 5060 Graph),MSI,134990,"4,25",71.0,Windows 11 OS,14th Gen Intel Core i7 14650HX,16 GB,Standard,1 TB SSD,8GB NVIDIA GeForce RTX 5060,15.6 inches,2560 x 1440 pixels,14 Cores (6P + 8E), 24 Threads,24.0
Asus Vivobook Go 15 E1504FA-BQ2523WS Laptop (AMD Ryzen 5 7520U / 8GB/ 512GB SSD/ Win 11 Home),Asus,36990,"4,3",51.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,8 GB,LPDDR5,512 GB SSD,Integrated AMD Radeon,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Apple MacBook Pro 14 Laptop (Apple M5/ 16GB/ 1TB SSD/ macOS),Apple,183490,"4,25",53.0,Mac OS,Apple M5,16 GB,Standard,1 TB SSD,10-Core GPU,14.2 inches,3024 x 1964 pixels,10-Core GPU, 12 Threads,12.0
Asus Expertbook B3 B3404CVAB-Q50884X Laptop (13th Gen Core i5/ 16GB/ 512GB/ Win 11),Asus,120990,"4,25",59.0,Windows 11 OS,13th Gen Intel Core i5 1335U,16 GB,DDR5,512 GB SSD,Integrated Intel Iris Xe,14 inches,1920 x 1200 pixels,Hexa Core (2P + 4E), 12 Threads,12.0
HP 15-hr0009TU Laptop (Intel Core 5 120U/ 16GB/ 512GB SSD/ Win 11 Home),HP,56999,"4,65",60.69506172839506,Windows 11 OS,Intel Core 5 120U,16 GB,Standard,512 GB SSD,Integrated Intel UHD,15.6 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 12 Threads,12.0
Acer Aspire 14 AS14H-53 UN.36CSI.005 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/Win 11),Acer,56990,"4,25",52.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,LPDDR5,512 GB SSD,Integrated Intel Iris Xe,14 inches,1920 x 1200 pixels,Hexa Core (2P + 4E), 16 Threads,12.0
HP 15-fc0690au Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win 11 Home),HP,45990,"4,4",51.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,16 GB,LPDDR5,512 GB SSD,Integrated AMD Radeon,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Acer Aspire 16 AI A16-11M NX.JLNSI.001 Laptop (Qualcomm Snapdragon X X1-26-100/ 16GB/ 512GB SSD/ Win 11 Home),Acer,56990,"4,45",60.69506172839506,Windows 11 OS,Qualcomm Snapdragon X X1-26-100,16 GB,LPDDR5X,512 GB SSD,Integrated Qualcomm Adreno,16 inches,1920 x 1200 pixels,12 Cores (8P + 4E), 8 Threads,12.0
Dell 15 DC15250 ODC1525002001RINS1 Laptop (Intel Core i3 100U/ 8GB/ 512GB SSD/ Win 11),Dell,35990,"4,15",60.69506172839506,Windows 11 OS,Intel Core 3 100U,8 GB,Standard,512 GB SSD,Integrated Intel UHD,15.6 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 8 Threads,12.0
Lenovo Ideapad Slim 3i 83K100CAIN Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),Lenovo,51010,"4,45",60.69506172839506,Windows 11 OS,13th Gen Intel Core i5 13420H,8 GB,DDR5,512 GB SSD,Integrated Intel Iris Xe,15.6 inches,1920 x 1200 pixels,Hexa Core (2P + 4E), 12 Threads,12.0
HP ZBook Power G11 A8WN2PT Laptop (Intel Core Ultra 7-155H/ 32GB/ 1TB SSD/ Win 11/ RTX 500 Ada 4GB Graphics),HP,172550,"4,05",79.0,Windows 11 OS,Intel Core Ultra 7 Series 1 155H,32 GB,DDR5,1 TB SSD,4GB NVIDIA RTX 500 Ada,16 inches,1920 x 1200 pixels,14 Cores (6P + 8E), 22 Threads,12.0
Microsoft Surface Pro 12 EP2-27654 Laptop (Snapdragon X Plus/ 16GB/ 256GB SSD/ Win 11),Microsoft,88990,4,60.69506172839506,Windows 11 OS,Qualcomm Snapdragon X Plus,16 GB,Standard,256 GB SSD,Integrated Qualcomm Adreno,13 inches,2196 x 1464 pixels,12 Cores (8P + 4E), 12 Threads,12.0
Microsoft Surface Pro 12 EP2-27670 Laptop (Snapdragon X Plus/ 16GB/ 512GB SSD/ Win 11),Microsoft,97990,"4,5",60.69506172839506,Windows 11 OS,Qualcomm Snapdragon X Plus,16 GB,Standard,512 GB SSD,Integrated Qualcomm Adreno,13 inches,2196 x 1464 pixels,12 Cores (8P + 4E), 12 Threads,12.0
MSI Vector A18 HX A9WIG-088IN Gaming Laptop (AMD Ryzen 9 9955HX/ 32GB/ 2TB SSD/ Win 11/ 16GB RTX 5080 Graphics ),MSI,339990,"4,5",60.69506172839506,Windows 11 OS,9th Gen AMD Ryzen 9 16 Core 9955HX,32 GB,DDR5,2 TB SSD,16GB NVIDIA GeForce RTX 5080,18 inches,2560 x 1600 pixels,16 Cores (8P + 8E), 32 Threads,24.0
Dell 14 Plus DB04255 2-in-1 Laptop (AMD Ryzen AI 7 350/ 16 GB/ 1TB SSD/Win 11 Home),Dell,94990,"4,7",52.0,Windows 11 OS,AMD Ryzen AI 7 350,16 GB,LPDDR5X,1 TB SSD,Integrated AMD Radeon,14 inches,1920 x 1200 pixels,Octa Core, 16 Threads,12.0
Dell 14 7440 OIN74401002R1RINU1O Laptop (Intel Core 7 240H/ 16GB/512GB SSD/ Win 11),Dell,77484,"4,7",52.0,Windows 11 OS,Intel Core 7 240H,16 GB,LPDDR5X,512 GB SSD,Integrated Intel Arc,14 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 16 Threads,12.0
HP Victus 15-fa2197TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11/ 6GB RTX 3050),HP,71490,"4,3",57.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,DDR4,512 GB SSD,6GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 12 Threads,12.0
Asus Vivobook 16 2025 X1605VA-SH2010WS Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),Asus,71990,"4,55",55.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,DDR4,512 GB SSD,Integrated Intel Iris Xe,16 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,12.0
Lenovo LOQ 2025 83JG008MIN Gaming Laptop (AMD Ryzen 7 250/ 24GB/ 1TB/ Win 11/ 8GB RTX 5060),Lenovo,129000,"4,75",73.0,Windows 11 OS,AMD Ryzen 7 250,4 GB,DDR5,1 TB SSD,8GB NVIDIA GeForce RTX 5060,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
Samsung Galaxy Book 4 NP754XGK-LS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win 11),Samsung,52500,"4,1",54.0,Windows 11 OS,Intel Core 5 Processor Series 1 120U,16 GB,LPDDR4X,512 GB SSD,Integrated Intel Arc,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 12 Threads,12.0
Acer Aspire Lite AL15-52H UN.347SI.00V Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),Acer,50990,"4,65",53.0,Windows 11 OS,12th Gen Intel Core i5 13420H,16 GB,DDR4,512 GB SSD,Integrated Intel Iris Xe,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Lenovo IdeaPad Slim 3 83N3002QIN Laptop (Qualcomm Snapdragon X/ 16GB/ 512GB SSD/Win 11 Home),Lenovo,60999,"4,55",60.69506172839506,Windows 11 OS,Qualcomm Snapdragon X X1-26-100,16 GB,LPDDR5X,512 GB SSD,Integrated Qualcomm Adreno,15.6 inches,1920 x 1080 pixels,12 Cores (8P + 4E), 12 Threads,12.0
Lenovo LOQ 2024 15IRX9 83DV01AAIN Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11/ 6GB RTX4050),Lenovo,89990,"4,35",66.0,Windows 11 OS,13th Gen Intel Core i5 13450HX,16 GB,DDR5,512 GB SSD,6GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 16 Threads,12.0
Asus Vivobook 14 2025 X1504VAP-BQ541WS Laptop (Intel Core 5 120U/ 16GB/ 512GB SSD/ Win 11),Asus,50990,"4,75",60.69506172839506,Windows 11 OS,1st Gen Intel Core 5 120U,16 GB,DDR4,512 GB SSD,Integrated Intel UHD,14 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 12 Threads,12.0
Lenovo IdeaPad Slim 3 83K100C9IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),Lenovo,66990,"4,75",53.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,DDR5,512 GB SSD,Integrated Intel Iris Xe,15.6 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,12.0
HP ZBook Fury 16 G10 8Y522EC Mobile Workstation Laptop (13th Gen Core i7/ 32GB/ 512GB SSD/ Win 11/ RTX A1000 6GB Graph),HP,201600,"4,7",75.0,Windows 11 OS,13th Gen Intel Core i7 13850HX,32 GB,DDR5,512 GB SSD,6GB NVIDIA RTX A1000,16 inches,3840 x 2400 pixels,14 Cores (6P + 8E), 28 Threads,12.0
Ultimus Apex NU14U7INC56BN Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win 11 Home),Ultimus,17990,"4,4",60.69506172839506,Windows 11 OS,Intel Celeron N4020,8 GB,DDR4,512 GB SSD,Integrated Intel UHD,14.1 inches,1920 x 1080 pixels,Dual Core, 2 Threads,12.0
Dell 14 Plus 2025 DB14250 Laptop (Intel Core Ultra 7 256V/ 16GB/ 512GB SSD/Win 11 Home),Dell,116990,"4,55",66.0,Windows 11 OS,Intel Core Ultra 7 256V,16 GB,LPDDR5X,512 GB SSD,Integrated Intel Arc,14 inches,2560 x 1440 pixels,12 Cores (4P + 8E), 8 Threads,12.0
MSI Cyborg 15 B2RWFKG-215IN Gaming Laptop (Intel Core 7 240H/ 16GB/ 1TB SSD/ Win 11/ 8GB RTX 5060 Graph),MSI,119990,"4,5",65.0,Windows 11 OS,Intel Core 7 240H,16 GB,DDR5,1 TB SSD,8GB NVIDIA GeForce RTX 5060,15.6 inches,1920 x 1080 pixels,14 Cores (6P + 8E), 16 Threads,24.0
Lenovo IdeaPad 3 15ITL05 82H802L3IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),Lenovo,39499,"4,75",54.0,Windows 11 OS,11th Gen Intel Core i3 1115G4,8 GB,DDR4,512 GB SSD,Integrated Intel UHD,15.6 inches,1920 x 1080 pixels,Dual Core, 4 Threads,12.0
Acer Aspire 14 AI A14-11M NX.JP3SI.001 Laptop ( Qualcomm Snapdragon X X1-26-100/ 16GB/ 512GB SSD/ Win 11 Home),Acer,59990,"4,6",60.69506172839506,Windows 11 OS,Qualcomm Snapdragon X X1-26-100,16 GB,LPDDR5X,512 GB SSD,Integrated Qualcomm Adreno,14 inches,1920 x 1200 pixels,12 Cores (8P + 4E), 8 Threads,12.0
HP Envy x360 14-fc0179TU Laptop (Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win 11),HP,129800,"4,75",70.0,Windows 11 OS,Intel Core Ultra 7 155U,32 GB,Standard,1 TB SSD,Integrated Intel Arc,14 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 14 Threads,12.0
Lenovo ThinkBook 16 21SHS00U00 Laptop (Intel Core 5 210H/ 8GB/ 512GB SSD/ DOS),Lenovo,58490,"4,4",60.69506172839506,DOS OS,Intel Core 5 210H,8 GB,Standard,512 GB SSD,Integrated Intel UHD,16 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
Alienware 16 Aurora OAN1625000801MINO Gaming Laptop (Intel Core 7 240H/ 16GB/ 1TB SSD/ Win 11/ RTX 5050 8GB Graph),Alienware,135000,4,68.0,Windows 11 OS,Intel Core 7 240H,16 GB,DDR5,1 TB SSD,8GB NVIDIA GeForce RTX 5050,16 inches,2560 x 1600 pixels,12 Cores (4P + 8E), 16 Threads,12.0
Dell 14 Plus DB14250 Laptop (Intel Core Ultra 5 226V/ 16GB/ 512GB SSD/Win 11 Home),Dell,72990,"4,25",59.0,Windows 11 OS,5th Gen Intel Core Ultra 5 226V,16 GB,LPDDR5X,512 GB SSD,Integrated Intel Arc,14 inches,2560 x 1600 pixels,12 Cores (4P + 8E), 8 Threads,12.0
HP 15-fd0668TU Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win 11 Home),HP,37999,"4,4",54.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB,DDR4,512 GB SSD,Integrated Intel UHD,15.6 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 8 Threads,12.0
Lenovo Yoga Slim 7 14IMH9 83CV00DFIN Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win 11),Lenovo,81990,"4,1",51.0,Windows 11 OS,Intel Core Ultra 5 Series 1 125H,16 GB,LPDDR5X,512 GB SSD,Integrated Intel Arc,14 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 18 Threads,12.0
Asus VivoBook 14 2025 X1404VA-EB321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),Asus,34990,"4,25",51.0,Windows 11 OS,13th Gen Intel Core i3 1315U,8 GB,DDR4,512 GB SSD,Integrated Intel Iris Xe,14 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 8 Threads,12.0
MSI Cyborg 15 B2RWEKG-217IN Gaming Laptop (Intel Core 5 210H/ 16GB/ 512GB/ Win 11/ 8GB RTX 5050),MSI,92990,4,62.0,Windows 11 OS,Intel 210H,16 GB,DDR5,512 GB SSD,8GB NVIDIA GeForce RTX 5050,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,24.0
MSI Thin 15 B13UDX-126IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 6GB RTX 3050),MSI,82590,"4,4",61.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,DDR4,1 TB SSD,6GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,24.0
Walker NU15A1 Laptop (Celeron N4020/ 8GB/ 256GB SSD / Win 11 Home),Walker,16990,"4,25",60.69506172839506,Windows 11 OS,Intel Celeron N4020,8 GB,LPDDR4,256 GB SSD,Integrated Intel UHD,15.6 inches,1920 x 1080 pixels,Dual Core, 2 Threads,12.0
HP ZBook Firefly 16 G11 Laptop (Intel Core Ultra 5/ 16GB/ 1TB SSD/ Win 11/ 4GB Graphics),HP,91999,"4,3",64.0,Windows 11 OS,Intel Core Ultra 5 Series 1 125H,16 GB,Standard,1 TB SSD,4GB NVIDIA RTX 500 Ada,16 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 18 Threads,12.0
Asus Vivobook Go 14 E1404FA-EB2542WS Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win 11),Asus,40990,"4,7",53.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,16 GB,LPDDR5,512 GB SSD,Integrated AMD Radeon,14 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
MSI Thin 15 B13UDX-3090IN Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win 11/ 6GB RTX 3050),MSI,67990,"4,5",63.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,DDR4,1 TB SSD,6GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 12 Threads,24.0
Dell Inspiron 5440 OIN5440340201RINU1O Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win 11),Dell,59990,"4,4",50.0,Windows 11 OS,13th Gen Intel Core i5 1334U,8 GB,DDR5,512 GB SSD,Integrated Intel UHD,14 inches,1920 x 1200 pixels,Hexa Core (2P + 4E), 12 Threads,12.0
Lenovo V14 83A0003GIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11),Lenovo,32638,"4,1",60.69506172839506,Windows 11 OS,13th Gen Intel Core i3 1315U,8 GB,Standard,512 GB SSD,Integrated Intel UHD,14 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 8 Threads,12.0
Lenovo LOQ 2025 83JG008NIN Gaming Laptop (AMD Ryzen 7 250/ 24GB/ 1TB/ Win 11/ 8GB RTX 5050),Lenovo,112990,"4,35",73.0,Windows 11 OS,AMD Ryzen 7 250,4 GB,DDR5,1 TB SSD,8GB NVIDIA GeForce RTX 5050,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
Samsung Galaxy Book 2 NP641BED-KA3IN Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win 11),Samsung,69999,"4,1",51.0,Windows 11 OS,12th Gen Intel Core i5 1235U,16 GB,LPDDR4,1 TB SSD,Integrated Intel Iris Xe,15.6 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
Acer Aspire 7 A715-79G UN.U35SI.001 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home/ 6GB Graph),Acer,82990,"4,3",63.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,DDR4,512 GB SSD,6GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,12.0
Lenovo IdeaPad Slim 3 15IRU8 82X700HMIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),Lenovo,38700,"4,35",51.0,Windows 11 OS,13th Gen Intel Core i3 1315U,8 GB,LPDDR5,512 GB SSD,Integrated Intel UHD,15.6 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 8 Threads,12.0
HP OmniBook 5 Flip 14-fp0789TU Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),HP,68490,"4,25",54.0,Windows 11 OS,13th Gen Intel Core i5 1334U,16 GB,LPDDR5,512 GB SSD,Integrated Intel Iris Xe,14 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 12 Threads,12.0
Asus Vivobook Go 14 E1404FA-EB2521WS Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win 11 Home),Asus,36990,4,51.0,Windows 11 OS,7th Gen AMD Ryzen 5 7520U,8 GB,LPDDR5,512 GB SSD,Integrated AMD Radeon,14 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Lenovo ThinkPad X1 2-in-1 21KES08L00 Laptop (Intel Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win 11 Pro),Lenovo,230490,"4,2",71.0,Windows 11 OS,Intel Core Ultra 7 155U,32 GB,Standard,1 TB SSD,Integrated Intel Arc,16 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 14 Threads,12.0
Acer Travel Lite TL14-52M Laptop (Intel Core 5-120U/ 32GB/ 512GB SSD/ Win 11),Acer,52890,"4,55",53.0,Windows 11 OS,Intel Core 5 120U,32 GB,DDR4,512 GB SSD,Integrated Intel Arc,14 inches,1920 x 1080 pixels,5 Cores (1P + 4E), 12 Threads,12.0
Acer Aspire Lite AL15-52H Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11),Acer,57990,4,56.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,LPDDR5,512 GB SSD,Integrated Intel Iris Xe,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,12.0
HP Victus 15-fb3120AX Gaming Laptop (AMD Ryzen 7 7445H/ 16GB/ 512GB SSD/ Win 11/ RTX 3050),HP,74500,"4,75",65.0,Windows 11 OS,7th Gen AMD Ryzen 7 7445H,16 GB,DDR5,512 GB SSD,RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
HP 255 G10 Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win 11),HP,55990,"4,25",55.0,Windows 11 OS,7th Gen AMD Ryzen 7 7730U,16 GB,DDR4,512 GB SSD,Integrated AMD Radeon,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
HP Omen 16-am0277TX  Gaming Laptop (Intel Core 7 240H/ 24GB/ 1TB SSD/ Win 11/ 8GB RTX 5050 Graph),HP,125550,4,69.0,Windows 11 OS,Intel Core 7 240H,4 GB,DDR5,1 TB SSD,8GB NVIDIA GeForce RTX 5050,16.1 inches,1920 x 1200 pixels,12 Cores (4P + 8E), 16 Threads,12.0
