name,brand,price,ratings,specs_score,os,processor,ram_size,ram_type,storage,graphics,screen_size,resoultion,cores,threads,warranty_months
Acer Aspire 7 A715-79G UN.34PSI.001 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Acer,54990,"4,7",64.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,DDR4,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),Apple,91990,"4,75",60.69506172839506,Mac OS,Apple M4,16 GB,Standard,256 GB SSD,Apple 8 Core GPU,13.6 inches,2560 x 1664 pixels,10 Cores (4P + 6E), 12 Threads,12.0
HP 15-fc1004AU Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home),HP,39990,"4,5",61.0,Windows 11 OS,7th Gen AMD Ryzen 5 7535HS,8 GB,DDR5,512 GB SSD,AMD Radeon,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,12.0
HP Victus 15-fa2382TX Gaming Laptop (14th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX4050),HP,86990,"4,65",71.0,Windows 11 OS,14th Gen Intel Core i5 14450HX,4 GB,DDR5,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,12.0
Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo,72990,"4,15",66.0,Windows 11 OS,12th Gen Intel Core i5 12450HX,16 GB,DDR5,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Gigabyte G6 KF-H3IN893KH Gaming Laptop (13th Gen Core i7/ 16GB RAM/ 512GB SSD/ Win 11/ 8GB Graphics),Gigabyte,76990,"4,3",69.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,DDR5,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,16 inches,1920 x 1200 pixels,10 Cores (6P + 4E), 16 Threads,24.0
HP Omen 16-ae0003TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 4070 Graph),HP,127990,"4,2",60.69506172839506,Windows 11 OS,14th Gen Intel Core i7 14700HX,4 GB,DDR5,1 TB SSD,8 GB NVIDIA GeForce RTX 4070,16 inches,1920 x 1200 pixels,20 Cores (8P + 12E), 28 Threads,12.0
HP Victus 15-fb3004AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,58990,"4,35",70.0,Windows 11 OS,8th Gen AMD Ryzen 5 8645HS,16 GB,DDR5,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,15.6 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,12.0
Asus Expertbook P1 14 P1403CVA-S60938WS Laptop (13th Gen Core i3/ 16GB/ 512GB/ Win11),Asus,38990,"4,75",60.0,Windows 11 OS,13th Gen Intel Core i3 1315U,16 GB,DDR5,512 GB SSD,Intel Integrated UHD,14 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,12.0
Gigabyte G5 MF5-H2IN354SH Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Gigabyte,71399,"4,65",73.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,DDR5,1 TB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,24.0
Dell 14 Inspiron 5440 Laptop (Intel Core 3 100U / 16GB/ 512GB SSD/ Win11),Dell,37890,"4,5",50.0,Windows 11 OS,Intel Core i3 100U,16 GB,DDR5,512 GB SSD,Integrated Intel UHD,14 inches,1920 x 1080 pixels,Hexa Core (2P + 4E), 8 Threads,12.0
